suburb,address,listing_type,property_type,postcode,buy_price,rent_price,bedrooms,bathrooms,carspaces,landsize,year_built,latitude,longitude,features
Footscray,28 Central Av,rent,house,3011,942000,1413,2,1,1,241,1915,-37.79583,144.89406,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Forest Hill,14 Box Av,rent,house,3131,1350000,2025,4,2,2,653,1970,-37.84362,145.16976,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Kingsbury,93 The Fairway,rent,house,3083,607500,911,3,2,1,468,1970,-37.7125,145.0306,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Carnegie,22A Mernda Av,rent,house,3163,1508000,2262,3,2,2,338,2011,-37.89235,145.04953999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,111 Boldrewood Pde,rent,house,3073,840000,1260,3,1,4,614,1960,-37.71562,145.02175,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,3/191 Balwyn Rd,rent,townhouse,3104,1238000,1857,3,2,2,186,2010,-37.8028,145.0828,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Fitzroy North,222 Rae St,rent,house,3068,1852000,2778,3,2,1,138,1900,-37.78714,144.97966,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn,27A Yerrin St,rent,townhouse,3103,1680000,2520,3,3,1,329,2005,-37.8101,145.0844,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Hughesdale,18 Paget St,rent,house,3166,1550000,2325,2,1,1,732,1950,-37.8931,145.0791,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yarraville,17 Adeney St,rent,house,3013,982500,1473,3,2,2,444,1945,-37.81662,144.866,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Fawkner,42 Denys St,rent,house,3060,712000,1068,3,1,2,603,1960,-37.70037,144.97007,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Burnside Heights,31 Batman St,rent,house,3023,535000,802,3,2,2,472,2005,-37.7331,144.76282,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Armadale,791 High St,rent,house,3143,1800000,2700,3,2,2,405,1910,-37.8545,145.0145,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Tullamarine,1/171 Melrose Dr,rent,house,3043,615500,923,3,2,1,238,2011,-37.70322,144.88236,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
West Footscray,86 Ashley St,rent,house,3012,850000,1275,4,2,2,497,1980,-37.7903,144.8639,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,1/9 Daventry St,rent,apartment,3073,405000,607,2,1,1,121,1965,-37.7146,145.001,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Glen Iris,1/18 Peace St,rent,townhouse,3146,797000,1195,2,1,2,97,1970,-37.8637,145.0632,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Kew,8 Mawson St,rent,house,3101,4515000,6772,5,4,2,800,2012,-37.8147,145.0571,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn,12 Wills St,rent,house,3103,2450000,3675,5,2,2,981,1960,-37.8058,145.0627,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Burwood,24 Andrews St,rent,house,3125,1591000,2386,6,2,2,665,1950,-37.8493,145.1283,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hoppers Crossing,22 Claremont Cr,rent,house,3029,510000,765,3,1,2,600,1975,-37.8835,144.68447,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg,2 Quarry Cct,rent,house,3058,1131000,1696,4,2,2,494,2001,-37.7359,144.9711,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Braybrook,20 Balmoral St,rent,house,3019,730000,1095,3,2,2,544,1970,-37.7815,144.855,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Caulfield South,15 Dover St,rent,house,3162,1065000,1597,2,1,1,273,1930,-37.895,145.02200000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Thornbury,19/337 Station St,rent,townhouse,3071,900000,1350,3,2,2,120,2000,-37.76343,145.02096,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Hawthorn,27 Falmouth St,rent,house,3122,2160000,3240,3,2,2,387,1910,-37.82,145.0421,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,52 Powell St,rent,house,3073,1200000,1800,4,2,2,499,1940,-37.72614,144.99892,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Fitzroy North,108 Michael St,rent,house,3068,1350000,2025,2,1,1,184,1900,-37.78493,144.98879,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Jacana,108 Sunset Bvd,rent,house,3047,425000,637,3,1,2,650,1975,-37.687,144.9084,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Preston,24 Regent St,rent,house,3072,920000,1380,3,1,2,465,1930,-37.73027,145.00189,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Keilor East,14 Noga Av,rent,house,3033,840000,1260,3,1,2,575,1970,-37.74316,144.87894,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,30 Clifton St,rent,house,3104,1572000,2358,4,2,2,662,1965,-37.798,145.1007,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,19 Smith St,rent,house,3073,1000000,1500,5,2,6,892,2004,-37.70176,145.0118,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Elsternwick,4 Buxton St,rent,house,3185,1755000,2632,3,2,1,391,1905,-37.8885,145.0133,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Keysborough,2 Eildon Dr,rent,house,3173,745000,1117,4,2,1,624,1969,-37.9887,145.16158,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Port Melbourne,13 Canberra Pde,rent,house,3207,1421000,2131,3,2,1,215,1990,-37.8393,144.9336,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg North,143 Elizabeth St,rent,house,3058,950000,1425,4,2,2,298,2013,-37.7308,144.9836,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Kings Park,12 Tanglewood St,rent,house,3021,530000,795,3,1,1,532,1975,-37.731,144.77387,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yallambie,2 Debra Ct,rent,house,3085,650000,975,3,1,1,706,1970,-37.731,145.0811,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick,10 Bennie St,rent,house,3056,1115000,1672,3,1,1,249,1925,-37.7669,144.9664,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,1/5 Box St,rent,townhouse,3073,678000,1017,3,2,1,230,2009,-37.7077,145.0211,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Balaclava,6 Blenheim St,rent,house,3183,1193000,1789,3,1,1,178,1920,-37.8663,144.9948,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Highett,13 Train St,rent,house,3190,1225000,1837,5,2,2,506,1950,-37.94708,145.04056,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yallambie,5 Kurdian Ct,rent,house,3085,840000,1260,4,2,2,761,1970,-37.7218,145.108,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Doncaster,36 Henry St,rent,house,3108,1400000,2100,5,3,2,656,1985,-37.7752,145.1317,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick East,192 Blyth St,rent,house,3057,1600000,2400,3,1,2,812,1920,-37.7673,144.9782,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
West Footscray,90 Pitt St,rent,house,3012,837000,1255,4,2,3,390,1950,-37.7926,144.8639,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ascot Vale,11 Milton St,rent,house,3032,1400000,2100,4,1,3,165,1910,-37.77352,144.92188000000004,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Huntingdale,50 Ross St,rent,house,3166,1145000,1717,4,1,2,603,1960,-37.90822,145.11146000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Murrumbeena,4/1 Howe St,rent,townhouse,3163,745500,1118,2,1,1,186,1980,-37.8947,145.0722,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Mill Park,15 Mockridge Dr,rent,house,3082,704500,1056,5,3,2,656,1970,-37.6641,145.05123,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Boronia,40 Allanfield Cr,rent,house,3155,700000,1050,3,1,1,439,1970,-37.86205,145.25333,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oakleigh East,1/22 Nonna St,rent,house,3166,875000,1312,3,2,2,295,2006,-37.90088,145.11692,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hawthorn East,748 Burwood Rd,rent,house,3123,1700000,2550,5,3,2,431,1920,-37.825,145.0536,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Eltham North,15 Highpoint Cr,rent,house,3095,920000,1380,4,3,2,1503,1980,-37.70697,145.14105,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ormond,15 Tyrone St,rent,house,3204,1918000,2877,4,2,1,678,1920,-37.9065,145.0461,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick West,15 Wallace St,rent,house,3055,1000000,1500,4,1,1,589,1935,-37.7628,144.9459,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunshine North,6 Gresford St,rent,house,3020,735000,1102,4,2,5,635,1975,-37.7693,144.8351,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Newport,63 Mason St,rent,house,3015,805000,1207,3,1,2,322,1930,-37.8422,144.8784,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Eaglemont,27 Glen Dr,rent,house,3084,1816000,2724,3,1,2,846,1955,-37.7666,145.0591,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ivanhoe,1/37 Myrtle St,rent,townhouse,3079,1010000,1515,3,2,2,314,2003,-37.7554,145.0516,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Coburg,48 Murray St,rent,house,3058,1130000,1695,3,1,3,206,1945,-37.7382,144.9563,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Point Cook,133 Lennon Bvd,rent,house,3030,715000,1072,4,2,2,630,2006,-37.89807,144.73925,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Keilor Park,2/12 Randwick Dr,rent,house,3042,635000,952,3,2,2,174,2002,-37.72012,144.86149,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ringwood East,7 Highton St,rent,house,3135,1175000,1762,4,2,1,842,1960,-37.81109,145.25738,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hadfield,6 Epping St,rent,house,3046,750000,1125,3,1,3,665,1970,-37.70444000000001,144.95273999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oakleigh East,41 Clayton Rd,rent,house,3166,1114000,1671,2,1,1,703,1960,-37.90241,145.12378,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Malvern East,1/380 Waverley Rd,rent,house,3145,1670000,2505,3,2,1,375,1920,-37.8777,145.0608,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Heidelberg,57 Martin St,rent,house,3084,1375000,2062,3,1,1,639,1965,-37.7502,145.0605,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,325 Belmore Rd,rent,house,3104,3250000,4875,5,4,2,886,2013,-37.804,145.0951,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Heathmont,25 Westmore Dr,rent,house,3135,932000,1398,5,2,2,543,1980,-37.83145,145.22826,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bundoora,219 Greenwood Dr,rent,house,3083,745000,1117,3,1,2,586,1970,-37.70762,145.07179,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Camberwell,2 Thomas St,rent,house,3124,1690000,2535,3,2,1,777,1950,-37.8431,145.0962,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Dandenong,8 Trende St,rent,house,3175,678000,1017,3,1,2,624,1970,-37.97806,145.20432,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Richmond,35A Hunter St,rent,townhouse,3121,1430000,2145,2,2,2,153,2004,-37.8209,145.0055,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Altona,24 Wren St,rent,house,3018,845000,1267,4,1,2,745,1950,-37.8658,144.8155,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,3 Dumblane St,rent,house,3104,3300000,4950,5,4,2,760,2015,-37.7907,145.0907,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Williamstown,19 Perry St,rent,house,3016,1575000,2362,3,2,3,430,1996,-37.8613,144.8939,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,3b Manuka St,rent,house,3165,886000,1329,3,2,1,185,2012,-37.9159,145.0787,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Fawkner,41 McBryde St,rent,townhouse,3060,543500,815,3,3,3,247,2011,-37.7133,144.975,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Strathmore,27 Henshall Rd,rent,house,3041,1330000,1995,3,2,1,606,1950,-37.7378,144.9168,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Seddon,44 Alexander St,rent,house,3011,1075000,1612,3,2,1,306,1900,-37.8038,144.8896,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Cheltenham,4 Brownfield St,rent,house,3192,1275000,1912,3,2,2,656,1960,-37.96791,145.06241,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Box Hill,89 Thames St,rent,house,3128,2770000,4155,4,1,2,715,1950,-37.8135,145.1218,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Thornbury,58 Leinster Gr,rent,townhouse,3071,960000,1440,2,2,2,158,2007,-37.7587,144.9881,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Coburg,5/39 Service St,rent,townhouse,3058,598000,897,2,1,1,108,2007,-37.7379,144.9617,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Kew,57 Derby St,rent,house,3101,1690000,2535,4,2,4,350,1900,-37.80127,145.03733,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ashburton,4 Vears Rd,rent,house,3147,1830000,2745,3,2,3,724,1940,-37.8619,145.0879,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,3/41 Fordham Rd,rent,townhouse,3073,495000,742,2,1,1,96,2013,-37.7139,145.0198,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Altona,104 Maidstone St,rent,house,3018,857000,1285,2,2,1,675,1950,-37.8653,144.8129,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Broadmeadows,37 Stanhope St,rent,house,3047,631000,946,4,2,2,696,1960,-37.68584,144.9315,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Eaglemont,8 Outlook Dr,rent,house,3084,2550000,3825,4,2,2,1484,1970,-37.769,145.0616,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Forest Hill,4 Sapphire St,rent,house,3131,1372000,2058,4,1,2,866,1970,-37.83816,145.17783,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Footscray,2/25 Stanlake St,rent,townhouse,3011,699000,1048,3,1,1,125,2000,-37.7922,144.8831,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Chadstone,4/5 Rae St,rent,house,3148,650000,975,3,2,2,160,2000,-37.8859,145.0934,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oak Park,74 Devereaux St,rent,house,3046,840000,1260,3,1,1,722,1960,-37.71433,144.90616,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Keilor East,117 Brees Rd,rent,house,3033,976000,1464,3,3,2,605,1980,-37.7459,144.8788,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Westmeadows,43 Bamford Av,rent,house,3049,821000,1231,4,3,2,544,1997,-37.67841,144.87923999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Altona North,24 Hansen St,rent,house,3025,931000,1396,3,2,1,590,1950,-37.8382,144.8649,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hawthorn East,13 Clive Rd,rent,house,3123,2450000,3675,4,3,2,523,1955,-37.8319,145.0503,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bayswater,3 Grieve St,rent,house,3153,824000,1236,3,1,2,725,1980,-37.85063,145.25802,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ascot Vale,52 Monash St,rent,house,3032,1425000,2137,3,2,2,495,1920,-37.7821,144.9055,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Waverley,1 Dorset St,rent,house,3150,1070000,1605,3,2,1,839,1970,-37.89813,145.14652,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton East,4 Bruce St,rent,house,3187,1389000,2083,4,1,2,656,1930,-37.9027,145.0225,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Templestowe Lower,360 Thompsons Rd,rent,house,3107,790000,1185,4,2,5,671,1970,-37.7631,145.1108,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,23 Manuka St,rent,house,3165,1580000,2370,4,2,2,604,1950,-37.91327,145.07917,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yarraville,20 Grace St,rent,house,3013,1450000,2175,3,2,2,542,2016,-37.811,144.8844,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hadfield,28 Gish Ct,rent,house,3046,815000,1222,4,2,2,672,1950,-37.7083,144.9495,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Lalor,69 Monash St,rent,house,3075,560000,840,3,1,2,535,1970,-37.6615,145.02761,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Surrey Hills,5 Glendale St,rent,house,3127,1975000,2962,5,2,2,641,2001,-37.8354,145.1001,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,13 Nutwood St,rent,house,3073,755000,1132,4,2,2,479,1995,-37.70952,145.033,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Essendon,76 Ogilvie St,rent,house,3040,960000,1440,3,1,2,549,1950,-37.7479,144.8931,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Williamstown,175 Douglas Pde,rent,house,3016,1360000,2040,3,1,1,477,1930,-37.8516,144.8949,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Iris,20 Howitt St,rent,house,3146,2376000,3564,4,2,2,652,1925,-37.8479,145.0557,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,12 Barrani St,rent,house,3165,1050000,1575,3,1,4,726,1950,-37.9117,145.0695,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Wyndham Vale,6 Melliodora Ct,rent,house,3024,500000,750,4,2,1,512,2005,-37.87959,144.60977,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Maidstone,1/12 Clarendon St,rent,house,3012,490000,735,3,1,2,269,1960,-37.7844,144.8665,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Werribee,6 Cassowary Av,rent,house,3030,505000,757,3,2,4,557,1987,-37.87975,144.66459,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hughesdale,8 Bowmore St,rent,house,3166,1745000,2617,4,2,1,547,1925,-37.9002,145.0768,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Templestowe Lower,253 Thompsons Rd,rent,house,3107,1000000,1500,4,3,2,728,1970,-37.768,145.1027,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunshine West,27 Warmington Rd,rent,house,3020,530000,795,3,1,1,573,1970,-37.8017,144.8258,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Spotswood,4 Steel St,rent,house,3015,690000,1035,3,1,2,532,1965,-37.8248,144.8717,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,1/22 Brooks St,rent,townhouse,3165,1055000,1582,3,2,2,301,2000,-37.9167,145.077,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Bentleigh,192 Tucker Rd,rent,house,3204,2151000,3226,4,3,2,811,1975,-37.91637,145.05177,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Burwood,55 Parer St,rent,townhouse,3125,900000,1350,4,3,2,381,2013,-37.8459,145.1041,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Coburg,1/38 Victoria St,rent,house,3058,500000,750,2,1,1,113,1970,-37.7424,144.961,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
West Footscray,12 Stanley St,rent,house,3012,756000,1134,3,1,1,353,1925,-37.7915,144.8733,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh,13 Wood St,rent,house,3204,1910000,2865,4,2,4,736,1950,-37.9224,145.0462,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Watsonia,49 Wattle Dr,rent,house,3087,627500,941,3,1,1,319,2000,-37.7165,145.0759,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ivanhoe,32 Ailsa Gr,rent,house,3079,1850000,2775,3,2,2,684,2000,-37.7659,145.0392,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yarraville,117 Francis St,rent,house,3013,660000,990,4,1,2,360,1910,-37.8212,144.8887,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick West,481 Albion St,rent,house,3055,1585000,2377,4,1,2,562,1920,-37.7583,144.9428,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Blackburn South,14 Indra Rd,rent,house,3130,1264000,1896,3,1,2,579,1960,-37.83831,145.13985,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Fawkner,94 Major Rd,rent,house,3060,515000,772,3,1,1,599,1960,-37.7071,144.9666,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg North,4 Blanche Ct,rent,house,3058,690000,1035,3,1,2,479,1980,-37.73251,144.98178,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Elsternwick,30 Ross St,rent,house,3185,900000,1350,2,1,2,239,1940,-37.8845,144.999,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,76 North Rd,rent,house,3073,920000,1380,2,1,2,665,1955,-37.72303,145.01883999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunshine North,35 Furlong Rd,rent,house,3020,591000,886,3,1,2,673,1970,-37.7623,144.8272,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Caulfield South,303 Bambra Rd,rent,house,3162,1160500,1740,3,2,1,358,1930,-37.8965,145.0269,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moorabbin,6/1015 Nepean Hwy,rent,apartment,3189,380500,570,1,1,1,106,1990,-37.9374,145.0388,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Rosanna,21 Ruthven St,rent,house,3084,1050000,1575,3,1,2,1016,1950,-37.7299,145.0656,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,45 Tambet St,rent,house,3165,1470000,2205,3,2,2,616,1960,-37.91506,145.07121,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Malvern East,15 Prior Rd,rent,house,3145,1335000,2002,3,2,2,606,1965,-37.8831,145.0879,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Malvern East,2b Brunel St,rent,house,3145,1680000,2520,3,2,2,234,1998,-37.8695,145.05,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton,3A Huntingfield Rd,rent,house,3186,2900000,4350,3,1,1,659,1942,-37.919,144.9953,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Rowville,3 Barwon Ct,rent,house,3178,735000,1102,3,2,1,721,1984,-37.91713,145.24706,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ivanhoe,79 Marshall St,rent,house,3079,1460000,2190,4,1,2,605,1940,-37.7707,145.0467,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bonbeach,16B Newberry Av,rent,townhouse,3196,1830000,2745,4,3,2,353,2004,-38.06189000000001,145.11766,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Windsor,31 Raleigh St,rent,house,3181,1350000,2025,2,1,1,157,1900,-37.8522,144.986,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Richmond,51 Hunter St,rent,house,3121,1145000,1717,2,1,1,197,1960,-37.8215,145.0054,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hampton,18 Kanowna St,rent,house,3188,2130000,3195,4,2,2,714,1925,-37.9446,145.0092,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hawthorn East,58 Auburn Gr,rent,house,3123,3100000,4650,4,2,2,640,1907,-37.826,145.0498,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Seaford,13 Hayman Av,rent,house,3198,880000,1320,4,2,2,535,1970,-38.09683,145.12981000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Port Melbourne,44 Cruikshank St,rent,house,3207,1350000,2025,2,1,1,195,1900,-37.8395,144.9462,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Richmond,255 Coppin St,rent,house,3121,1275000,1912,3,1,2,204,1900,-37.8285,145.0022,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oakleigh,12 Watsonia St,rent,house,3166,1615000,2422,4,2,2,537,1920,-37.91,145.096,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
